Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A05,Absolute Quantification,ABS,1_5,Ch2Unknown,2,Multi,57.8,ddPCR Supermix for Probes (no dUTP),1156,,,61.6,54,892,17724,581,162,311,17562,37.1,18616,,,,,,,,0.83,,,0.91,0.75,45.3,,,47.8,42.9,1,1,0,10842,4551.6,4853,,,,,59.7,55.8,,,,,,,0.871,0.788,,,46.6,44.1
A06,Absolute Quantification,ABS,1_6,Ch2Unknown,2,Multi,28.3,ddPCR Supermix for Probes (no dUTP),566,,,30.8,25.8,485,19920,307,126,178,19794,17.8,20405,,,,,,,,0.89,,,1.01,0.78,47.1,,,50.4,43.9,1,1,0,10616,4423.5,4570.7,,,,,29.6,27,,,,,,,0.95,0.83,,,48.8,45.5
A07,Absolute Quantification,ABS,NC,Ch2Negative Control,2,Multi,0,ddPCR Supermix for Probes (no dUTP),0,,,0.19,0,0,18278,0,18,0,18260,0,18278,,,,,,,,,,,,,,,,,,1,1,0,0,4605.2,4605.2,,,,,0.088,0,,,,,,,,,,,,
A08,Absolute Quantification,ABS,NC,Ch2Negative Control,2,Multi,0.06,ddPCR Supermix for Probes (no dUTP),1.2,,,0.29,0,1,19169,0,27,1,19142,0,19170,,,,,,,,,,,,,,,,,,1,1,0,9334.6,4584.7,4584.9,,,,,0.15,0.02,,,,,,,,,,,,
B01,Absolute Quantification,ABS,2_1,Ch2Unknown,2,Multi,1014,ddPCR Supermix for Probes (no dUTP),20280,,,1033,996,12064,8817,8876,1680,3188,7137,580,20881,,,,,,,,0.817,,,0.839,0.795,45,,,45.6,44.3,1,1,0,10517,4750.4,8082.3,,,,,1024,1005,,,,,,,0.828,0.806,,,45.3,44.62
B02,Absolute Quantification,ABS,2_2,Ch2Unknown,2,Multi,515,ddPCR Supermix for Probes (no dUTP),10300,,,527,503,7257,13202,4827,1360,2430,11842,296,20459,,,,,,,,0.822,,,0.85,0.794,45.1,,,46,44.3,1,1,0,10513,4591.3,6691.7,,,,,521,509,,,,,,,0.836,0.808,,,45.55,44.69
B03,Absolute Quantification,ABS,2_3,Ch2Unknown,2,Multi,264,ddPCR Supermix for Probes (no dUTP),5280,,,272,255,3806,15151,2413,823,1393,14328,154,18957,,,,,,,,0.835,,,0.874,0.796,45.5,,,46.7,44.3,1,1,0,10695,4582.1,5809.3,,,,,267.9,259.4,,,,,,,0.855,0.815,,,46.1,44.9
B04,Absolute Quantification,ABS,2_4,Ch2Unknown,2,Multi,127,ddPCR Supermix for Probes (no dUTP),2540,,,132,121,1961,17272,1159,461,802,16811,71.7,19233,,,,,,,,0.82,,,0.87,0.76,45,,,46.6,43.4,1,1,0,10784,4562.6,5196.9,,,,,129.4,123.7,,,,,,,0.846,0.791,,,45.8,44.2
B05,Absolute Quantification,ABS,2_5,Ch2Unknown,2,Multi,61.7,ddPCR Supermix for Probes (no dUTP),1234,,,65.5,57.8,981,18229,585,286,396,17943,36,19210,,,,,,,,0.89,,,0.97,0.8,47,,,49.2,44.7,1,1,0,10701,4499,4815.7,,,,,63.6,59.7,,,,,,,0.926,0.844,,,48.1,45.8
B06,Absolute Quantification,ABS,2_6,Ch2Unknown,2,Multi,28.9,ddPCR Supermix for Probes (no dUTP),578,,,31.4,26.3,493,19844,285,163,208,19681,16.5,20337,,,,,,,,0.91,,,1.02,0.79,47.6,,,50.8,44.4,1,1,0,10353,4340.4,4486.1,,,,,30.2,27.6,,,,,,,0.97,0.85,,,49.2,46
